epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,783.467,1.41547,1.50712,1.82665,0.5485,0.62084,0.64276,0.32517,2.13797,2.59928,2.68221,0.000385117,0.000385117,0.000385117
66,795.481,1.39922,1.51436,1.80894,0.71756,0.63218,0.69704,0.38841,1.75959,2.3729,2.33485,0.000381818,0.000381818,0.000381818
67,807.256,1.40359,1.47826,1.82632,0.70216,0.62615,0.68155,0.34361,1.71246,2.08603,2.2144,0.000378488,0.000378488,0.000378488
68,819.065,1.40262,1.45328,1.79905,0.78147,0.6141,0.7145,0.37461,1.78728,2.2136,2.25809,0.000375126,0.000375126,0.000375126
69,830.84,1.42906,1.46997,1.81128,0.79925,0.60416,0.77291,0.4501,1.53681,1.95358,2.11222,0.000371734,0.000371734,0.000371734
70,843.31,1.483,1.51168,1.84954,0.74603,0.62544,0.74815,0.41716,1.67158,1.77676,2.16588,0.000368313,0.000368313,0.000368313
71,854.934,1.37062,1.46038,1.80365,0.64658,0.69702,0.7397,0.42342,1.55635,1.90651,2.12726,0.000364863,0.000364863,0.000364863
72,866.596,1.45127,1.48604,1.80233,0.79552,0.54394,0.71899,0.38311,1.69134,2.08019,2.23466,0.000361385,0.000361385,0.000361385
73,878.274,1.42038,1.43413,1.8129,0.63339,0.69946,0.67894,0.35553,1.74933,1.94677,2.31391,0.00035788,0.00035788,0.00035788
74,890.226,1.46362,1.46216,1.88976,0.75541,0.62133,0.74831,0.43086,1.58483,2.35137,2.12246,0.00035435,0.00035435,0.00035435
75,901.935,1.46184,1.47315,1.80364,0.6719,0.72681,0.74157,0.42909,1.69838,2.18659,2.15644,0.000350794,0.000350794,0.000350794
76,913.706,1.41202,1.47198,1.80736,0.79475,0.66549,0.78083,0.42913,1.68163,1.98616,2.15215,0.000347214,0.000347214,0.000347214
77,925.381,1.41161,1.44164,1.8218,0.70036,0.73848,0.7589,0.38548,1.59057,1.64435,2.10788,0.000343611,0.000343611,0.000343611
78,937.125,1.44166,1.45196,1.82041,0.65094,0.71863,0.75861,0.39752,1.63893,2.13714,2.16407,0.000339985,0.000339985,0.000339985
79,948.913,1.45431,1.46283,1.84024,0.80658,0.531,0.69975,0.36242,1.66217,1.78678,2.10417,0.000336338,0.000336338,0.000336338
80,960.647,1.40007,1.40712,1.78627,0.70617,0.63739,0.69389,0.39583,1.60592,1.85574,2.08639,0.00033267,0.00033267,0.00033267
81,972.416,1.32865,1.34105,1.75653,0.62262,0.66856,0.70762,0.40683,1.65249,2.3956,2.13794,0.000328982,0.000328982,0.000328982
82,984.153,1.40385,1.32297,1.78459,0.63809,0.66479,0.70178,0.38592,1.6619,1.72346,2.16585,0.000325275,0.000325275,0.000325275
83,996.14,1.42721,1.36333,1.8098,0.8804,0.60135,0.75542,0.42026,1.73598,1.67025,2.19679,0.00032155,0.00032155,0.00032155
84,1007.96,1.44613,1.37996,1.82131,0.72314,0.71899,0.7918,0.39361,1.88018,1.79635,2.35914,0.000317809,0.000317809,0.000317809
85,1019.77,1.35585,1.31851,1.74071,0.74262,0.7197,0.75555,0.39784,1.80901,1.85001,2.35203,0.000314051,0.000314051,0.000314051
86,1031.52,1.33464,1.35807,1.76934,0.77571,0.74183,0.77012,0.43552,1.69007,1.80603,2.16651,0.000310278,0.000310278,0.000310278
87,1043.28,1.40847,1.3723,1.78866,0.87147,0.63367,0.78444,0.44958,1.56257,1.69875,2.02562,0.00030649,0.00030649,0.00030649
88,1055.03,1.34388,1.35033,1.72206,0.66394,0.70411,0.7226,0.40308,1.73032,1.67515,2.15347,0.00030269,0.00030269,0.00030269
89,1066.79,1.33117,1.32996,1.78177,0.70923,0.73777,0.77212,0.43875,1.61678,1.65564,2.10585,0.000298877,0.000298877,0.000298877
90,1078.55,1.37157,1.34728,1.80223,0.66297,0.70263,0.71718,0.41536,1.66671,1.85576,2.16327,0.000295052,0.000295052,0.000295052
91,1090.59,1.36686,1.2953,1.79394,0.74628,0.57867,0.674,0.41112,1.57448,1.80393,2.0362,0.000291218,0.000291218,0.000291218
92,1102.36,1.31874,1.33516,1.73831,0.71995,0.72644,0.73297,0.41147,1.90698,2.8505,2.48854,0.000287373,0.000287373,0.000287373
93,1114.16,1.29844,1.28933,1.72119,0.75795,0.76187,0.79069,0.45318,1.58629,1.78208,2.0516,0.00028352,0.00028352,0.00028352
94,1126.69,1.34929,1.27388,1.73258,0.67475,0.72644,0.7566,0.45879,1.47839,1.4772,2.00305,0.000279659,0.000279659,0.000279659
95,1139.07,1.36573,1.28095,1.75909,0.62915,0.74026,0.75555,0.4705,1.64659,1.60318,2.18792,0.000275792,0.000275792,0.000275792
96,1151.53,1.29804,1.26129,1.70783,0.83002,0.57982,0.75726,0.46233,1.47886,1.47235,1.98864,0.000271919,0.000271919,0.000271919
97,1163.34,1.34112,1.27433,1.7445,0.67058,0.76127,0.75741,0.45827,1.52648,1.65501,2.03302,0.000268041,0.000268041,0.000268041
98,1175.09,1.26085,1.1952,1.67491,0.71199,0.73317,0.74748,0.46485,1.52355,1.53196,2.01424,0.000264159,0.000264159,0.000264159
99,1186.86,1.27517,1.227,1.69308,0.80439,0.73246,0.78203,0.43852,1.6226,1.39734,2.08524,0.000260274,0.000260274,0.000260274
100,1198.94,1.29415,1.24702,1.68627,0.78678,0.691,0.77354,0.46863,1.52374,1.59321,2.03779,0.000256388,0.000256388,0.000256388
101,1210.67,1.27729,1.21253,1.65544,0.88013,0.65975,0.78664,0.47209,1.53164,2.13525,2.0511,0.0002525,0.0002525,0.0002525
102,1223.15,1.26662,1.25626,1.68149,0.8149,0.69957,0.79417,0.4663,1.52046,2.33047,2.11945,0.000248612,0.000248612,0.000248612
103,1234.93,1.25719,1.22261,1.67654,0.70467,0.72534,0.77856,0.4627,1.5353,1.6617,2.03042,0.000244726,0.000244726,0.000244726
